mode,travel_bounds,trips,full_distance_km,gpc_distance_km,full_co2e_tons,gpc_co2e_tons,year,latitude,longitude
AUTOMOBILE,IN-BOUNDARY,111322315,525213978,525213978.0,144586.95,144586.95,2021,40.4406,-79.9959
AUTOMOBILE,IN-BOUNDARY,95015454,428926323,428926323.0,118079.7759,118079.7759,2020,40.4406,-79.9959
AUTOMOBILE,IN-BOUNDARY,123167389,672675718,672675718.0,185181.9154,185181.9154,2019,40.4406,-79.9959
AUTOMOBILE,IN-BOUNDARY,115762915,730115216,730115216.0,200994.5099,200994.5099,2018,40.4406,-79.9959
AUTOMOBILE,INBOUND,76818222,1628971244,814485622.0,448441.9565,224220.9782,2021,40.45,-79.95
AUTOMOBILE,INBOUND,64279584,1236855373,618427686.5,340495.7855,170247.8928,2020,40.45,-79.95
AUTOMOBILE,INBOUND,82925641,1922133461,961066730.5,529147.0264,264573.5132,2019,40.45,-79.95
AUTOMOBILE,INBOUND,79720316,1935448768,967724384.0,532812.5863,266406.2932,2018,40.45,-79.95
AUTOMOBILE,OUTBOUND,76798120,1570763275,785381637.5,432417.7967,216208.8983,2021,40.43,-80.04
AUTOMOBILE,OUTBOUND,64349162,1206624993,603312496.5,332173.6185,166086.8093,2020,40.43,-80.04
AUTOMOBILE,OUTBOUND,83472665,1890457058,945228529.0,520426.7815,260213.3908,2019,40.43,-80.04
AUTOMOBILE,OUTBOUND,80105804,1898265724,949132862.0,522576.4105,261288.2053,2018,40.43,-80.04
AUTOMOBILE,TOTAL,264938657,3724948497,2125081237.5,1025446.7032,585016.8266,2021,40.4406,-79.9959
AUTOMOBILE,TOTAL,223644200,2872406689,1650666506.0,790749.18,454414.478,2020,40.4406,-79.9959
AUTOMOBILE,TOTAL,289565695,4485266237,2578970977.5,1234755.7233,709968.8193,2019,40.4406,-79.9959
AUTOMOBILE,TOTAL,275589035,4563829708,2646972462.0,1256383.5068,728689.0084,2018,40.4406,-79.9959
BUS,IN-BOUNDARY,6526913,30666448,30666448.0,19086.0201,19086.0201,2021,40.4406,-79.9959
BUS,IN-BOUNDARY,6735259,31699404,31699404.0,19728.9057,19728.9057,2020,40.4406,-79.9959
BUS,IN-BOUNDARY,13630033,63609584,63609584.0,39588.9931,39588.9931,2019,40.4406,-79.9959
BUS,IN-BOUNDARY,14798569,64343169,64343169.0,40045.5609,40045.5609,2018,40.4406,-79.9959
BUS,INBOUND,1893812,29406588,14703294.0,18301.9151,9150.9576,2021,40.45,-79.95
BUS,INBOUND,2218733,34872605,17436302.5,21703.8256,10851.9128,2020,40.45,-79.95
BUS,INBOUND,3412678,62334848,31167424.0,38795.6297,19397.8148,2019,40.45,-79.95
BUS,INBOUND,3373197,60904638,30452319.0,37905.5127,18952.7563,2018,40.45,-79.95
BUS,OUTBOUND,1843263,28673949,14336974.5,17845.9392,8922.9696,2021,40.43,-80.04
BUS,OUTBOUND,2196973,35234763,17617381.5,21929.2236,10964.6118,2020,40.43,-80.04
BUS,OUTBOUND,3430627,64184457,32092228.5,39946.7794,19973.3897,2019,40.43,-80.04
BUS,OUTBOUND,3418418,64190530,32095265.0,39950.5691,19975.2845,2018,40.43,-80.04
BUS,TOTAL,10263988,88746985,59706716.5,55233.8744,37159.9472,2021,40.4406,-79.9959
BUS,TOTAL,11150965,101806772,66753088.0,63361.9549,41545.4303,2020,40.4406,-79.9959
BUS,TOTAL,20473338,190128889,126869236.5,118331.4022,78960.1976,2019,40.4406,-79.9959
BUS,TOTAL,21590184,189438337,126890753.0,117901.6426,78973.6017,2018,40.4406,-79.9959
CYCLING,IN-BOUNDARY,3220213,11359967,11359967.0,0.0,0.0,2021,40.4406,-79.9959
CYCLING,IN-BOUNDARY,2889921,10763653,10763653.0,0.0,0.0,2020,40.4406,-79.9959
CYCLING,IN-BOUNDARY,4190933,11583543,11583543.0,0.0,0.0,2019,40.4406,-79.9959
CYCLING,IN-BOUNDARY,4078349,11467401,11467401.0,0.0,0.0,2018,40.4406,-79.9959
CYCLING,TOTAL,3220213,11359967,11359967.0,0.0,0.0,2021,40.4406,-79.9959
CYCLING,TOTAL,2889921,10763653,10763653.0,0.0,0.0,2020,40.4406,-79.9959
CYCLING,TOTAL,4190933,11583543,11583543.0,0.0,0.0,2019,40.4406,-79.9959
CYCLING,TOTAL,4078349,11467401,11467401.0,0.0,0.0,2018,40.4406,-79.9959
ON FOOT,IN-BOUNDARY,57334865,45293484,45293484.0,0.0,0.0,2021,40.4406,-79.9959
ON FOOT,IN-BOUNDARY,48314417,38267576,38267576.0,0.0,0.0,2020,40.4406,-79.9959
ON FOOT,IN-BOUNDARY,116564921,77608316,77608316.0,0.0,0.0,2019,40.4406,-79.9959
ON FOOT,IN-BOUNDARY,114942266,79039819,79039819.0,0.0,0.0,2018,40.4406,-79.9959
ON FOOT,INBOUND,890770,1502375,751187.5,0.0,0.0,2021,40.45,-79.95
ON FOOT,INBOUND,979404,1651394,825697.0,0.0,0.0,2020,40.45,-79.95
ON FOOT,INBOUND,1533691,2924681,1462340.5,0.0,0.0,2019,40.45,-79.95
ON FOOT,INBOUND,1622646,2801189,1400594.5,0.0,0.0,2018,40.45,-79.95
ON FOOT,OUTBOUND,899025,1525680,762840.0,0.0,0.0,2021,40.43,-80.04
ON FOOT,OUTBOUND,997025,1704782,852391.0,0.0,0.0,2020,40.43,-80.04
ON FOOT,OUTBOUND,1563833,2776332,1388166.0,0.0,0.0,2019,40.43,-80.04
ON FOOT,OUTBOUND,1664597,2785872,1392936.0,0.0,0.0,2018,40.43,-80.04
ON FOOT,TOTAL,59124660,48321539,46807511.5,0.0,0.0,2021,40.4406,-79.9959
ON FOOT,TOTAL,50290846,41623752,39945664.0,0.0,0.0,2020,40.4406,-79.9959
ON FOOT,TOTAL,119662445,83309329,80458822.5,0.0,0.0,2019,40.4406,-79.9959
ON FOOT,TOTAL,118229509,84626880,81833349.5,0.0,0.0,2018,40.4406,-79.9959
SUBWAY,IN-BOUNDARY,4005850,12454371,12454371.0,0.0,0.0,2019,40.4406,-79.9959
SUBWAY,IN-BOUNDARY,3243559,9967757,9967757.0,0.0,0.0,2018,40.4406,-79.9959
SUBWAY,INBOUND,1569320,19587379,9793689.5,0.0,0.0,2018,40.45,-79.95
SUBWAY,OUTBOUND,1407930,17929721,8964860.5,0.0,0.0,2018,40.43,-80.04
SUBWAY,TOTAL,4005850,12454371,12454371.0,0.0,0.0,2019,40.4406,-79.9959
SUBWAY,TOTAL,6220809,47484857,28726307.0,0.0,0.0,2018,40.4406,-79.9959
